product_desc,sku_id,brand_family,brand,pack,brand_segment_I
1890-1 Lts-Bottle-RET,23154,1890,1890,1 Lts-Bottle-RET,Value
1890-1 Lts-Bottle-RET,7108,1890,1890,1 Lts-Bottle-RET,Value
1890-1 Lts-Bottle-RET,71080037,1890,1890,1 Lts-Bottle-RET,Value
1890-1 Lts-Bottle-RET,7116,1890,1890,1 Lts-Bottle-RET,Value
1890-1 Lts-Bottle-RET,13600,1890,1890,1 Lts-Bottle-RET,Value
1890-1/2 Lts-Cans,14195,1890,1890,1/2 Lts-Cans,Value
1890-1/2 Lts-Cans,15622,1890,1890,1/2 Lts-Cans,Value
1890-1/2 Lts-Cans,13410,1890,1890,1/2 Lts-Cans,Value
1890-1/2 Lts-Cans,13224,1890,1890,1/2 Lts-Cans,Value
1890-1/2 Lts-Cans,132240019,1890,1890,1/2 Lts-Cans,Value
1890-1/2 Lts-Cans,21829,1890,1890,1/2 Lts-Cans,Value
1890-1/2 Lts-Cans,40202,1890,1890,1/2 Lts-Cans,Value
1890-1/2 Lts-Cans,17873,1890,1890,1/2 Lts-Cans,Value
1890-1/2 Lts-Cans,40222,1890,1890,1/2 Lts-Cans,Value
27 Eazy-1/2 Lts-Cans,25734,27 Eazy,27 Eazy,1/2 Lts-Cans,Super Premium
27 Eazy-1/2 Lts-Cans,25361,27 Eazy,27 Eazy,1/2 Lts-Cans,Super Premium
27 Eazy-1/2 Lts-Cans,25612,27 Eazy,27 Eazy,1/2 Lts-Cans,Super Premium
27 Eazy-1/2 Lts-Cans,25360,27 Eazy,27 Eazy,1/2 Lts-Cans,Super Premium
27 Eazy-1/2 Lts-Cans,25611,27 Eazy,27 Eazy,1/2 Lts-Cans,Super Premium
27 Eazy-1/2 Lts-Cans,250600123,27 Eazy,27 Eazy,1/2 Lts-Cans,Super Premium
27 Eazy-1/2 Lts-Cans,25060,27 Eazy,27 Eazy,1/2 Lts-Cans,Super Premium
Andes Origen Criolla-1/2 Lts-Cans,22971,Andes Origen,Andes Origen Criolla,1/2 Lts-Cans,Core +
Andes Origen Criolla-1/2 Lts-Cans,24875,Andes Origen,Andes Origen Criolla,1/2 Lts-Cans,Core +
Andes Origen Criolla-1/2 Lts-Cans,24876,Andes Origen,Andes Origen Criolla,1/2 Lts-Cans,Core +
Andes Origen Criolla-1/2 Lts-Cans,22275,Andes Origen,Andes Origen Criolla,1/2 Lts-Cans,Core +
Andes Origen Criolla-1/2 Lts-Cans,24531,Andes Origen,Andes Origen Criolla,1/2 Lts-Cans,Core +
Andes Origen Criolla-1/2 Lts-Cans,245310058,Andes Origen,Andes Origen Criolla,1/2 Lts-Cans,Core +
