customer_id,product_desc,ranking
122053,Brahma-1 Lts-Bottle-RET,1
122053,Brahma-1/2 Lts-Cans,2
139102,Stella artois Noire-1/2 Lts-Cans,1
139102,Quilmes Bajo Cero-1 Lts-Bottle-RET,2
139102,Stella artois-1/2 Lts-Cans,3
139102,Patagonia Amber Lager-20 Lts-Barrel,4
158580,Goose Island Hazy-1/2 Lts-Cans,1
158580,Temple Scottish-30 Lts-Barrel,2
167627,Andes Origen Fresquita-1/2 Lts-Cans,1
167627,Quilmes Clasica-1 Lts-Bottle-RET,2
167627,Stella Artois Blanche-1/2 Lts-Cans,3
167627,Corona-1/2 Lts-Cans,4
167627,Brahma Dorada-3/4 Lts-Bottle-OW,5
167627,Quilmes 0.0-1/2 Lts-Cans,6
167627,Budweiser-3/4 Lts-Bottle-OW,7
167627,Brahma Dorada-1 Lts-Bottle-RET,8
167627,Patagonia Bohemian Pilsener-1 Lts-Bottle-RET,9
167627,Quilmes Ipa-1/2 Lts-Cans,10
167627,Budweiser-1 Lts-Bottle-RET,11
167627,Andes Origen Fresquita-1 Lts-Bottle-RET,12
173544,Budweiser-1/2 Lts-Cans,1
173544,Quilmes Clasica-1/2 Lts-Cans,2
173544,Brahma-1/2 Lts-Cans,3
173544,Corona-1/2 Lts-Cans,4
176724,Brahma Dorada-1/2 Lts-Cans,1
176724,Michelob Ultra-1/2 Lts-Cans,2
176724,Andes-1/2 Lts-Cans,3
176852,Andes Origen Roja-1/2 Lts-Cans,1
176852,Brahma Dorada-1/2 Lts-Cans,2
176852,Stella artois-1/2 Lts-Cans,3
176852,Andes Origen IPA-1/2 Lts-Cans,4
176852,Budweiser-1/3 Lts-Bottle-RET,5
316312,Brahma-1 Lts-Bottle-RET,1
316312,Quilmes Clasica-1/2 Lts-Cans,2
316312,Andes Origen Fresquita-1/2 Lts-Cans,3
367482,Budweiser-1 Lts-Bottle-RET,1
367482,Corona-3/4 Lts-Bottle-OW,2
367482,27 Eazy-1/2 Lts-Cans,3
367482,1890-1 Lts-Bottle-RET,4
367482,Stella artois-1 Lts-Bottle-RET,5
367482,Quilmes Bajo Cero-1 Lts-Bottle-RET,6
